mb_code16,sa1_code16,sa2_code16,sa2_name,sa3_code16,sa3_name,lga_name,uhi_mean,canopy_pct,grass_pct,shrub_pct,any_veg_pct,shrub_tree_pct,tree_03_10_pct,tree_10_15_pct,tree_15plus_pct,mb_category,dwellings,persons,area_sqkm,irsd_score,irsd_decile
20016410000,20901119827,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),7.7932,17.0164,4.2891,7.0138,28.3193,24.0302,12.5745,3.3266,1.1153,Residential,35,84,0.0227,1087,9
20016420000,20901119820,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.7581,17.7753,7.2738,9.4685,34.5177,27.2439,14.4871,1.8244,1.4638,Residential,43,83,0.0321,1047,7
20016430000,20901119930,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.8905,11.7533,9.8404,8.598,30.1918,20.3513,10.8104,0.9113,0.0317,Residential,48,118,0.0327,1059,7
20016440000,20901119906,209011199,Heidelberg West,20901,Banyule,Banyule (C),9.7293,1.0456,0.8916,0.5443,2.4815,1.5899,1.0303,0.0153,0.0,Industrial,0,0,0.0566,,
20016450000,20901119929,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.1062,10.6936,15.1401,8.5557,34.3894,19.2493,9.3337,1.3537,0.0062,Residential,47,86,0.0239,941,3
20016460000,20901119928,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.4797,13.9824,12.9795,7.4368,34.3987,21.4192,11.2743,2.2469,0.4612,Residential,43,111,0.0296,1012,5
20016470000,20901119927,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.0984,13.0547,13.5729,8.0586,34.6861,21.1133,12.4777,0.5473,0.0297,Residential,44,74,0.0312,901,2
20016480000,20901119905,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.6287,23.016,23.9142,2.2582,49.1884,25.2742,13.8816,7.2341,1.9002,Parkland,0,0,0.0133,893,2
20016490000,20901119904,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.0295,16.2108,11.1137,7.5914,34.9159,23.8022,13.571,2.4379,0.2019,Residential,37,69,0.0254,932,3
20016500000,20901119905,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.2315,13.9632,15.8799,8.4877,38.3308,22.4509,10.8329,2.5338,0.5964,Residential,52,121,0.0366,893,2
20017641000,20901119929,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.008,11.3045,14.4849,10.6384,36.4278,21.9429,10.2984,0.8802,0.1258,Residential,35,54,0.0205,941,3
20016510000,20901120319,209011203,Viewbank - Yallambie,20901,Banyule,Banyule (C),8.507,15.6204,6.4725,4.4821,26.575,20.1025,8.8145,3.7521,3.0538,Residential,64,166,0.0491,1057,7
20016520000,20901120338,209011203,Viewbank - Yallambie,20901,Banyule,Banyule (C),8.7409,17.7279,5.4083,7.3853,30.5214,25.1131,12.575,3.9117,1.2412,Residential,27,47,0.0174,1051,7
20015430000,20901120318,209011203,Viewbank - Yallambie,20901,Banyule,Banyule (C),9.2504,18.9191,7.5262,7.2126,33.6579,26.1317,11.231,4.0948,3.5933,Residential,47,115,0.0456,1095,9
20015440000,20901120012,209011200,Ivanhoe,20901,Banyule,Banyule (C),7.9993,14.6107,12.7405,9.3044,36.6557,23.9152,10.0789,3.2523,1.2795,Residential,33,68,0.0245,1067,8
20015450000,20901120310,209011203,Viewbank - Yallambie,20901,Banyule,Banyule (C),9.0971,14.5629,5.7879,7.5867,27.9375,22.1496,9.999,2.4185,2.1453,Residential,39,109,0.0305,1099,9
20015460000,20901120013,209011200,Ivanhoe,20901,Banyule,Banyule (C),8.3183,7.1694,14.5228,8.6757,30.3678,15.8451,6.5446,0.6038,0.0211,Residential,49,109,0.0254,1035,6
20015470000,20901119914,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.27,11.3279,15.8166,9.4446,36.5892,20.7726,9.9462,1.3818,0.0,Residential,41,83,0.0274,950,3
20015480000,20901120020,209011200,Ivanhoe,20901,Banyule,Banyule (C),8.2831,17.6307,5.975,7.8918,31.4975,25.5225,14.6872,2.0725,0.8711,Residential,28,53,0.0155,1064,8
20015490000,20901119912,209011199,Heidelberg West,20901,Banyule,Banyule (C),7.3148,17.1392,46.4017,3.8762,67.4172,21.0154,12.8491,3.885,0.4051,Parkland,0,0,0.0947,961,3
20015500000,20901119908,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.1025,7.5484,17.8583,8.3296,33.7362,15.8779,6.2307,1.1219,0.1958,Residential,43,75,0.0338,771,1
20015510000,20901119901,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.4815,12.6651,13.4112,7.1096,33.186,19.7747,8.4333,2.5821,1.6496,Residential,36,86,0.0203,769,1
20015520000,20901119913,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.5229,15.647,13.3311,6.2366,35.2147,21.8836,9.6931,3.7074,2.2465,Residential,34,86,0.0158,809,1
20015530000,20901120014,209011200,Ivanhoe,20901,Banyule,Banyule (C),8.2614,12.8731,15.3921,8.9379,37.203,21.811,11.0852,1.5132,0.2747,Residential,51,121,0.0407,1048,7
20015550000,20901119910,209011199,Heidelberg West,20901,Banyule,Banyule (C),7.9962,13.1607,19.3788,9.2842,41.8238,22.445,10.8075,1.9549,0.3983,Residential,30,79,0.0275,882,2
20015560000,20901119901,209011199,Heidelberg West,20901,Banyule,Banyule (C),7.9431,13.4372,25.1599,5.5211,44.1182,18.9583,10.7601,1.341,1.3361,Parkland,0,0,0.0065,769,1
