mb_code16,warming_level,days_label,days_lower,days_upper
20020780000,1.2,5-10,5,10
20020790000,1.2,5-10,5,10
20020800000,1.2,5-10,5,10
20020810000,1.2,5-10,5,10
20019820000,1.2,5-10,5,10
20019830000,1.2,5-10,5,10
20019840000,1.2,5-10,5,10
20020840000,1.2,5-10,5,10
20020850000,1.2,5-10,5,10
20020860000,1.2,5-10,5,10
20020870000,1.2,5-10,5,10
20020880000,1.2,5-10,5,10
20020540000,1.2,5-10,5,10
20020550000,1.2,5-10,5,10
20020560000,1.2,5-10,5,10
20020580000,1.2,5-10,5,10
20020590000,1.2,5-10,5,10
20020060000,1.2,5-10,5,10
20020600000,1.2,5-10,5,10
20020610000,1.2,5-10,5,10
20020620000,1.2,5-10,5,10
20020630000,1.2,5-10,5,10
20020640000,1.2,5-10,5,10
20020650000,1.2,5-10,5,10
20021390000,1.2,5-10,5,10
20021400000,1.2,5-10,5,10
20021411000,1.2,5-10,5,10
20021412000,1.2,5-10,5,10
20020670000,1.2,5-10,5,10
20020680000,1.2,5-10,5,10
20020690000,1.2,5-10,5,10
20020700000,1.2,5-10,5,10
20020220000,1.2,5-10,5,10
20020710000,1.2,5-10,5,10
20020720000,1.2,5-10,5,10
20020730000,1.2,5-10,5,10
20020740000,1.2,5-10,5,10
20020750000,1.2,5-10,5,10
20019970000,1.2,5-10,5,10
20019980000,1.2,5-10,5,10
20019990000,1.2,5-10,5,10
20020000000,1.2,5-10,5,10
20020010000,1.2,5-10,5,10
20020020000,1.2,5-10,5,10
20020030000,1.2,5-10,5,10
20020040000,1.2,5-10,5,10
20020050000,1.2,5-10,5,10
20020070000,1.2,5-10,5,10
20020080000,1.2,5-10,5,10
20020090000,1.2,5-10,5,10
20020100000,1.2,5-10,5,10
20020110000,1.2,5-10,5,10
20020120000,1.2,5-10,5,10
20020130000,1.2,5-10,5,10
20020140000,1.2,5-10,5,10
20020150000,1.2,5-10,5,10
20020160000,1.2,5-10,5,10
20020170000,1.2,5-10,5,10
20020180000,1.2,5-10,5,10
20020190000,1.2,5-10,5,10
20020200000,1.2,5-10,5,10
20020210000,1.2,5-10,5,10
20020230000,1.2,5-10,5,10
20020240000,1.2,5-10,5,10
20020250000,1.2,5-10,5,10
20020260000,1.2,5-10,5,10
20021020000,1.2,5-10,5,10
20021030000,1.2,5-10,5,10
20021040000,1.2,5-10,5,10
20021050000,1.2,5-10,5,10
20021060000,1.2,5-10,5,10
20021070000,1.2,5-10,5,10
20021080000,1.2,5-10,5,10
20021090000,1.2,5-10,5,10
20021100000,1.2,5-10,5,10
20021110000,1.2,5-10,5,10
20021120000,1.2,5-10,5,10
20021130000,1.2,5-10,5,10
20021140000,1.2,5-10,5,10
20021150000,1.2,5-10,5,10
20021160000,1.2,5-10,5,10
20021170000,1.2,5-10,5,10
20021180000,1.2,5-10,5,10
20021190000,1.2,5-10,5,10
20021200000,1.2,5-10,5,10
20021210000,1.2,5-10,5,10
20021220000,1.2,5-10,5,10
20021230000,1.2,5-10,5,10
20021240000,1.2,5-10,5,10
20021250000,1.2,5-10,5,10
20021260000,1.2,5-10,5,10
20021511000,1.2,5-10,5,10
20021512000,1.2,5-10,5,10
20021520000,1.2,5-10,5,10
20021530000,1.2,5-10,5,10
20021540000,1.2,5-10,5,10
20021550000,1.2,5-10,5,10
20021560000,1.2,5-10,5,10
20021570000,1.2,5-10,5,10
20021580000,1.2,5-10,5,10
20021590000,1.2,5-10,5,10
20020820000,1.2,5-10,5,10
20021610000,1.2,5-10,5,10
20021620000,1.2,5-10,5,10
20021630000,1.2,5-10,5,10
20021640000,1.2,5-10,5,10
20021650000,1.2,5-10,5,10
20021660000,1.2,5-10,5,10
20021670000,1.2,5-10,5,10
20021690000,1.2,5-10,5,10
20021700000,1.2,5-10,5,10
20021710000,1.2,5-10,5,10
20021720000,1.2,5-10,5,10
20021730000,1.2,5-10,5,10
20021740000,1.2,5-10,5,10
20021750000,1.2,5-10,5,10
20021761000,1.2,5-10,5,10
20021762000,1.2,5-10,5,10
20021770000,1.2,5-10,5,10
20021780000,1.2,5-10,5,10
20021270000,1.2,5-10,5,10
20021280000,1.2,5-10,5,10
20021290000,1.2,5-10,5,10
20021300000,1.2,5-10,5,10
20021310000,1.2,5-10,5,10
20021320000,1.2,5-10,5,10
20021330000,1.2,5-10,5,10
20021340000,1.2,5-10,5,10
20021350000,1.2,5-10,5,10
20021360000,1.2,5-10,5,10
20021370000,1.2,5-10,5,10
20021380000,1.2,5-10,5,10
20022410000,1.2,5-10,5,10
20021420000,1.2,5-10,5,10
20021430000,1.2,5-10,5,10
20021440000,1.2,5-10,5,10
20021450000,1.2,5-10,5,10
20021461000,1.2,5-10,5,10
20021462000,1.2,5-10,5,10
20021463000,1.2,5-10,5,10
20021464000,1.2,5-10,5,10
20021470000,1.2,5-10,5,10
20021480000,1.2,5-10,5,10
20021490000,1.2,5-10,5,10
20021500000,1.2,5-10,5,10
20020940000,1.2,5-10,5,10
20020890000,1.2,5-10,5,10
20020900000,1.2,5-10,5,10
20020910000,1.2,5-10,5,10
20020920000,1.2,5-10,5,10
20020930000,1.2,5-10,5,10
20020950000,1.2,5-10,5,10
20020960000,1.2,5-10,5,10
20020970000,1.2,5-10,5,10
20020980000,1.2,5-10,5,10
20020990000,1.2,5-10,5,10
20021001000,1.2,5-10,5,10
20021002000,1.2,5-10,5,10
20021010000,1.2,5-10,5,10
20022060000,1.2,5-10,5,10
20022070000,1.2,5-10,5,10
20022080000,1.2,5-10,5,10
20022090000,1.2,5-10,5,10
20022100000,1.2,5-10,5,10
20022110000,1.2,5-10,5,10
20023020000,1.2,5-10,5,10
20022120000,1.2,5-10,5,10
20022130000,1.2,5-10,5,10
20022150000,1.2,5-10,5,10
20022160000,1.2,5-10,5,10
20022170000,1.2,5-10,5,10
20022180000,1.2,5-10,5,10
20022190000,1.2,5-10,5,10
20022200000,1.2,5-10,5,10
20022210000,1.2,5-10,5,10
20022220000,1.2,5-10,5,10
20022240000,1.2,5-10,5,10
20022250000,1.2,5-10,5,10
20022260000,1.2,5-10,5,10
20022650000,1.2,5-10,5,10
20022270000,1.2,5-10,5,10
20022280000,1.2,5-10,5,10
20022290000,1.2,5-10,5,10
20022300000,1.2,5-10,5,10
20022310000,1.2,5-10,5,10
20022560000,1.2,5-10,5,10
20022570000,1.2,5-10,5,10
20022580000,1.2,5-10,5,10
20022590000,1.2,5-10,5,10
20022600000,1.2,5-10,5,10
20022610000,1.2,5-10,5,10
20022620000,1.2,5-10,5,10
20022630000,1.2,5-10,5,10
20022640000,1.2,5-10,5,10
20022661000,1.2,5-10,5,10
20021601000,1.2,5-10,5,10
20021602000,1.2,5-10,5,10
20023240000,1.2,5-10,5,10
20023250000,1.2,5-10,5,10
20023260000,1.2,5-10,5,10
20023270000,1.2,5-10,5,10
20023280000,1.2,5-10,5,10
20023290000,1.2,5-10,5,10
20023300000,1.2,5-10,5,10
20023310000,1.2,5-10,5,10
20023320000,1.2,5-10,5,10
20023330000,1.2,5-10,5,10
20023340000,1.2,5-10,5,10
20023350000,1.2,5-10,5,10
20023360000,1.2,5-10,5,10
20023370000,1.2,5-10,5,10
20023380000,1.2,5-10,5,10
20023390000,1.2,5-10,5,10
20023400000,1.2,5-10,5,10
20022320000,1.2,5-10,5,10
20022330000,1.2,5-10,5,10
20022350000,1.2,5-10,5,10
20022360000,1.2,5-10,5,10
20022370000,1.2,5-10,5,10
20022390000,1.2,5-10,5,10
20022662000,1.2,5-10,5,10
20022663000,1.2,5-10,5,10
20055840000,1.2,5-10,5,10
20022671000,1.2,5-10,5,10
20022420000,1.2,5-10,5,10
20022430000,1.2,5-10,5,10
20022450000,1.2,5-10,5,10
20022470000,1.2,5-10,5,10
20022480000,1.2,5-10,5,10
20022490000,1.2,5-10,5,10
20022500000,1.2,5-10,5,10
20022510000,1.2,5-10,5,10
20022520000,1.2,5-10,5,10
20022531000,1.2,5-10,5,10
20022532000,1.2,5-10,5,10
20022540000,1.2,5-10,5,10
20022550000,1.2,5-10,5,10
20021790000,1.2,5-10,5,10
20021800000,1.2,5-10,5,10
20021810000,1.2,5-10,5,10
20021821000,1.2,5-10,5,10
20021822000,1.2,5-10,5,10
20021830000,1.2,5-10,5,10
20021840000,1.2,5-10,5,10
20021850000,1.2,5-10,5,10
20021860000,1.2,5-10,5,10
20021870000,1.2,5-10,5,10
20021880000,1.2,5-10,5,10
20021890000,1.2,5-10,5,10
20021901000,1.2,5-10,5,10
20021902000,1.2,5-10,5,10
20022052000,1.2,5-10,5,10
20021910000,1.2,5-10,5,10
20021920000,1.2,5-10,5,10
20021930000,1.2,5-10,5,10
20021940000,1.2,5-10,5,10
20021950000,1.2,5-10,5,10
20021960000,1.2,5-10,5,10
20021970000,1.2,5-10,5,10
20021980000,1.2,5-10,5,10
20021990000,1.2,5-10,5,10
20022000000,1.2,5-10,5,10
20022010000,1.2,5-10,5,10
20022020000,1.2,5-10,5,10
20022030000,1.2,5-10,5,10
20022040000,1.2,5-10,5,10
20022051000,1.2,5-10,5,10
20022820000,1.2,5-10,5,10
20022830000,1.2,5-10,5,10
20022840000,1.2,5-10,5,10
20022860000,1.2,5-10,5,10
20022890000,1.2,5-10,5,10
20022900000,1.2,5-10,5,10
20023222000,1.2,5-10,5,10
20023230000,1.2,5-10,5,10
20023570000,1.2,5-10,5,10
20023580000,1.2,5-10,5,10
20023590000,1.2,5-10,5,10
20023600000,1.2,5-10,5,10
